date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:13	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Nov%202017%2021:12:09%20GMT	https://domicilio.campero.com/robots.txt		(from )
15:12:14	141847/141847	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202017%2021:12:10%20GMT	https://domicilio.campero.com/	/home/broly/websites/pagina_viajero/domicilio.campero.com/index.html	(from )
15:12:14	3515/3515	---M--	200	added ('OK')	image/png	etag:%2234fc8fabc99cd21:0%22	https://domicilio.campero.com/favicon.png	/home/broly/websites/pagina_viajero/domicilio.campero.com/favicon.png	(from https://domicilio.campero.com/)
15:12:15	85578/85578	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	/home/broly/websites/pagina_viajero/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://domicilio.campero.com/)
15:12:16	23453/23453	---M-Z	200	added ('OK')	application/javascript	etag:%22098c5a19351d31:0%22	https://domicilio.campero.com/Scripts/intro.min.js	/home/broly/websites/pagina_viajero/domicilio.campero.com/Scripts/intro.min.js	(from https://domicilio.campero.com/)
15:12:17	9960/9960	---M-Z	200	added ('OK')	text/css	etag:%2209b818d9351d31:0%22	https://domicilio.campero.com/Content/introjs.min.css	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/introjs.min.css	(from https://domicilio.campero.com/)
15:12:17	4834/4834	---M-Z	200	added ('OK')	text/css	etag:%2209b818d9351d31:0%22	https://domicilio.campero.com/Content/introjs-nassim.css	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/introjs-nassim.css	(from https://domicilio.campero.com/)
15:12:18	101980/101980	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Nov%202017%2021:12:15%20GMT	https://domicilio.campero.com/Content/camperocss?v=4Yc2nL785nnts0gSCD8IR8lrTCi7rRCUg7x9ShiJBv41	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/camperocssd9b5.css	(from https://domicilio.campero.com/)
15:12:20	41953/41953	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a3e1-6fy8xPpwy6CTuB2YKht4UJQUzvc%22	http://cdn.jsdelivr.net/jquery.slick/1.6.0/slick.min.js	/home/broly/websites/pagina_viajero/cdn.jsdelivr.net/jquery.slick/1.6.0/slick.min.js	(from https://domicilio.campero.com/)
15:12:20	106353/106353	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2002%20Nov%202017%2021:12:16%20GMT	https://domicilio.campero.com/bundles/camperojs?v=fXNiJNSQlYRyILeoCY9oE3Y-CoS4WgIMsFcDkaHFLzM1	/home/broly/websites/pagina_viajero/domicilio.campero.com/bundles/camperojsdb69	(from https://domicilio.campero.com/)
15:12:20	8102/8102	---M-Z	200	added ('OK')	application/javascript	etag:%220f227a49351d31:0%22	https://domicilio.campero.com/Scripts/stick-to-me.js	/home/broly/websites/pagina_viajero/domicilio.campero.com/Scripts/stick-to-me.js	(from https://domicilio.campero.com/)
15:12:21	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2002%20Nov%202017%2021:12:21%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/broly/websites/pagina_viajero/www.googletagmanager.com/gtm.95445.delayed	(from https://domicilio.campero.com/)
15:12:21	1993/1993	---M-Z	200	added ('OK')	text/css	etag:%229c9dd8e9351d31:0%22	https://domicilio.campero.com/Content/stick-to-me.css	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/stick-to-me.css	(from https://domicilio.campero.com/)
15:12:22	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Nov%202017%2021:12:18%20GMT	https://domicilio.campero.com/Images/640x360-Popup-website-Encanelado.jpg	/home/broly/websites/pagina_viajero/domicilio.campero.com/Images/640x360-Popup-website-Encanelado.b.delayed	(from https://domicilio.campero.com/)
15:12:23	336/336	---M--	200	added ('OK')	application/javascript	etag:%2226f1533248dc37a15075c5b26e86943f%22	http://s3.amazonaws.com/ki.js/66665/fDN.js	/home/broly/websites/pagina_viajero/s3.amazonaws.com/ki.js/66665/fDN.js	(from https://domicilio.campero.com/)
15:12:24	30005/30005	---M--	200	added ('OK')	image/gif	etag:%225758927cc2cd31:0%22	https://domicilio.campero.com/Content/img/gif-de-swipe-1.gif	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/img/gif-de-swipe-1.gif	(from https://domicilio.campero.com/)
15:12:24	30707/30707	---M--	200	added ('OK')	image/png	etag:%22af33be9d9351d31:0%22	https://domicilio.campero.com/Content/img/logobottom.png	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/img/logobottom.png	(from https://domicilio.campero.com/)
15:12:25	33305/33305	---M--	200	added ('OK')	image/jpeg	etag:%223ce2381ecc2cd31:0%22	https://domicilio.campero.com/Content/img/almuerzo_03.jpg	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/img/almuerzo_03.jpg	(from https://domicilio.campero.com/)
15:12:27	53259/53259	---M--	200	added ('OK')	image/jpeg	etag:%2228e5661ecc2cd31:0%22	https://domicilio.campero.com/Content/img/almuerzo_04.jpg	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/img/almuerzo_04.jpg	(from https://domicilio.campero.com/)
15:12:27	141847/141847	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202017%2021:12:23%20GMT	https://domicilio.campero.com/?cat=0	/home/broly/websites/pagina_viajero/domicilio.campero.com/indexbb04.html	(from https://domicilio.campero.com/)
15:12:28	264495/264495	---M--	200	added ('OK')	image/jpeg	etag:%22d9b36bdba052d31:0%22	https://d2542wednpahnk.cloudfront.net/42998.jpg	/home/broly/websites/pagina_viajero/d2542wednpahnk.cloudfront.net/42998.jpg	(from https://domicilio.campero.com/)
15:12:28	13391/13391	---M--	200	added ('OK')	image/jpeg	etag:%227bf0301a64a2d21:0%22	https://d2542wednpahnk.cloudfront.net/41874.jpg	/home/broly/websites/pagina_viajero/d2542wednpahnk.cloudfront.net/41874.jpg	(from https://domicilio.campero.com/)
15:12:28	20851/20851	---M--	200	added ('OK')	image/jpeg	etag:%22c16cab1964a2d21:0%22	https://d2542wednpahnk.cloudfront.net/41871.jpg	/home/broly/websites/pagina_viajero/d2542wednpahnk.cloudfront.net/41871.jpg	(from https://domicilio.campero.com/)
15:12:29	13601/13601	---M--	200	added ('OK')	image/jpeg	etag:%22f159981964a2d21:0%22	https://d2542wednpahnk.cloudfront.net/41870.jpg	/home/broly/websites/pagina_viajero/d2542wednpahnk.cloudfront.net/41870.jpg	(from https://domicilio.campero.com/)
15:12:29	20261/20261	---M--	200	added ('OK')	image/jpeg	etag:%228c3612f64a2d21:0%22	https://d2542wednpahnk.cloudfront.net/42013.jpg	/home/broly/websites/pagina_viajero/d2542wednpahnk.cloudfront.net/42013.jpg	(from https://domicilio.campero.com/)
15:12:29	17826/17826	---M--	200	added ('OK')	image/jpeg	etag:%2245aa6f64a2d21:0%22	https://d2542wednpahnk.cloudfront.net/42136.jpg	/home/broly/websites/pagina_viajero/d2542wednpahnk.cloudfront.net/42136.jpg	(from https://domicilio.campero.com/)
15:12:29	15125/15125	---M--	200	added ('OK')	image/jpeg	etag:%22665fad189fad21:0%22	https://d2542wednpahnk.cloudfront.net/42176.jpg	/home/broly/websites/pagina_viajero/d2542wednpahnk.cloudfront.net/42176.jpg	(from https://domicilio.campero.com/)
15:12:29	21884/21884	---M--	200	added ('OK')	image/jpeg	etag:%22b679941864a2d21:0%22	https://d2542wednpahnk.cloudfront.net/41807.jpg	/home/broly/websites/pagina_viajero/d2542wednpahnk.cloudfront.net/41807.jpg	(from https://domicilio.campero.com/)
15:12:30	22543/22543	---M--	200	added ('OK')	image/jpeg	etag:%228c3612f64a2d21:0%22	https://d2542wednpahnk.cloudfront.net/41948.jpg	/home/broly/websites/pagina_viajero/d2542wednpahnk.cloudfront.net/41948.jpg	(from https://domicilio.campero.com/)
